Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
16.1.2014;0318.0000;2.6.4.9;Grenzgraben, wasserführend;Linie;für Vermessung
16.1.2014;L311.0000;2.6.4.1;Grenzhecke (in Aufnahmerichtung links);Linie;für Vermessung
16.1.2014;R311.0000;2.6.4.1;Grenzhecke (in Aufnahmerichtung rechts);Linie;für Vermessung
16.1.2014;A311.0000;2.6.4.1;Grenzhecke gemeinschaftlich;Linie;für Vermessung
16.1.2014;0111.0000;2.6.3.1;Grenzmarke an Staats-, Landesgrenze;Punkt;für Vermessung
16.1.2014;L313.0000;2.6.4.3;Grenzmauer (in Aufnahmerichtung links);Linie;für Vermessung
16.1.2014;R313.0000;2.6.4.3;Grenzmauer (in Aufnahmerichtung rechts);Linie;für Vermessung
16.1.2014;Z313.0000;2.6.4.3;Grenzmauer gemeinschaftlich, beidseitig;Linie;für Vermessung
1.1.2012;0118.0000;2.6.3.3;Grenzpunkt, abgemarkt;Punkt;für Vermessung
1.1.2012;11003-1000;;Grenzpunkt, dauerhaft und gut erkennbar abgemarkt;Punkt;aus ALKIS
1.1.2012;11003-9500;;Grenzpunkt, unvermarkt oder unterirdische Marke;Punkt;aus ALKIS
16.1.2014;0317.0000;2.6.4.8;Grenzrain;Linie;für Vermessung
1.1.2012;9395.0000;2.7.4.11;Grenzstein,  Meilenstein (historisch);Punkt;für Vermessung
16.1.2014;0316.0000;2.6.4.7;Grenzwall (mit Bewachsung);Linie;für Vermessung
16.1.2014;0315.0000;2.6.4.6;Grenzwall (ohne Bewachsung);Linie;für Vermessung
16.1.2014;L312.0000;2.6.4.2;Grenzzaun (in Aufnahmerichtung links);Linie;für Vermessung
16.1.2014;R312.0000;2.6.4.2;Grenzzaun (in Aufnahmerichtung rechts);Linie;für Vermessung
16.1.2014;A312.0000;2.6.4.2;Grenzzaun gemeinschaftlich;Linie;für Vermessung
16.1.2014;6210.0000;2.2.7.3;Grünanlage, Grünland;Flaeche;für Vermessung
16.1.2014;6210.7001;;Grünanlage, Grünland (Nutzungsarten-Einzelsymbol);Punkt;für Vermessung
1.1.2012;02310-3413;;Grünanlage, Grünland (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
16.1.2014;6210.0000;2.2.7.3;Grünanlage, Grünland (Nutzungsarten-Gruppensymbol);Punkt;für Vermessung
1.1.2012;R2310-3413;;Grünanlage, Grünland (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
1.1.2012;8096.0000;2.5.5.13;Grundwasserbeobachtungsrohr;Punkt;für Vermessung
1.1.2012;8094.0000;2.1.7.5;Grundwassermeßstelle;Punkt;für Vermessung
16.1.2014;5902.0000;2.2.7.36;Grünland (in Verkehrsflächen);Punkt;für Vermessung
16.1.2014;5902.0000;2.2.7.36;Grünland (in Verkehrsflächen);Flaeche;für Vermessung
1.1.2012;31001-3221;;Hallenbad;Flaeche;aus ALKIS
1.1.2012;02310-3334;;Hallenbad (Nutzungssymbol);Punkt;aus ALKIS
16.1.2014;1031.0000;2.4.2.1;Hausnummer;Text;für Vermessung
1.1.2012;9071-7073;;Hausnummer, Gebäudefunktion;Text;aus ALKIS
16.1.2014;L351.0000;2.2.11;Hecke (in Aufnahmerichtung links);Linie;für Vermessung
1.1.2012;0351.0000;2.2.11;Hecke (in Aufnahmerichtung rechts);Linie;für Vermessung
1.1.2012;0356.0000;2.7.4.9;Hecktor;Punkt;für Vermessung
16.1.2014;0719.0002;;Heftrand;Linie;für Vermessung
16.1.2014;6600.0000;2.2.7.15;Heide;Flaeche;für Vermessung
1.1.2012;02310-3474;;Heide (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
16.1.2014;6600.0000;2.2.7.15;Heide (Nutzungsarten-Gruppensymbol);Punkt;für Vermessung
1.1.2012;R2310-3474;;Heide (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
1.1.2012;31001-3052;;Heilanstalt, Pflegeanstalt, -station;Flaeche;aus ALKIS
16.1.2014;#232.7001;;Helligkeitsmeßgerät;Punkt;für Vermessung
1.1.2012;5281.0000;2.3.3.1;Hinweistafel, -zeichen, Ortsschild (freistehend);Punkt;für Vermessung
1.1.2012;5173.0000;2.3.1.18;Hochbord;Linie;für Vermessung
1.1.2012;31001-3023;;Hochschulgebäude (Fachhochschule, Universität);Flaeche;aus ALKIS
1.1.2012;3444.0000;2.5.2.4;Hochspannungsleitung, oberirdisch;Linie;für Vermessung
1.1.2012;3446.0000;2.5.1.4;Hochspannungsleitung, unterirdisch;Linie;für Vermessung
1.1.2012;8023.0000;2.3.10.7;Höhe des Wasserspiegels;Punkt;für Vermessung
1.1.2012;8023.0000;2.3.10.7;Höhe des Wasserspiegels;Text;für Vermessung
1.1.2012;1055.0000;2.3.11.5;Höhe Unterkante;Punkt;für Vermessung
1.1.2012;1055.0000;2.3.11.5;Höhe Unterkante;Text;für Vermessung
1.1.2012;1056.0000;2.4.2.5;Höhenangaben an Gebäuden;Punkt;für Vermessung
1.1.2012;1056.0000;2.4.2.5;Höhenangaben an Gebäuden;Text;für Vermessung
16.1.2014;1056.7001;;Höhengeländepunkt am Gebäude;Punkt;für Vermessung
1.1.2012;0416.0000;2.2.3.6;Höhenlinie - 0,5/0.25 Meter;Linie;für Vermessung
1.1.2012;0416.0000;2.2.3.6;Höhenlinie - 0,5/0.25 Meter;Text;für Vermessung
1.1.2012;0415.0000;2.2.3.5;Höhenlinie - 1 Meter;Linie;für Vermessung
1.1.2012;0415.0000;2.2.3.5;Höhenlinie - 1 Meter;Text;für Vermessung
1.1.2012;0412.0000;2.2.3.2;Höhenlinie - 10 Meter;Linie;für Vermessung
1.1.2012;0412.0000;2.2.3.2;Höhenlinie - 10 Meter;Text;für Vermessung
16.1.2014;0411.0002;;Höhenlinie - 100 Meter;Linie;für Vermessung
16.1.2014;0411.0002;;Höhenlinie - 100 Meter;Text;für Vermessung
1.1.2012;0414.0000;2.2.3.4;Höhenlinie - 2,5 Meter;Linie;für Vermessung
1.1.2012;0414.0000;2.2.3.4;Höhenlinie - 2,5 Meter;Text;für Vermessung
1.1.2012;0411.0000;2.2.3.1;Höhenlinie - 20 Meter;Linie;für Vermessung
1.1.2012;0411.0000;2.2.3.1;Höhenlinie - 20 Meter;Text;für Vermessung
1.1.2012;0413.0000;2.2.3.3;Höhenlinie - 5 Meter;Linie;für Vermessung
1.1.2012;0413.0000;2.2.3.3;Höhenlinie - 5 Meter;Text;für Vermessung
16.1.2014;0411.0001;;Höhenlinie - 50 Meter;Linie;für Vermessung
16.1.2014;0411.0001;;Höhenlinie - 50 Meter;Text;für Vermessung
1.1.2012;0427.0000;2.2.3.7;Höhenlinie - unsicher;Linie;für Vermessung
1.1.2012;0144.0000;2.1.6.3;Höhenmarke (der Straßenbauverwaltung);Punkt;für Vermessung
1.1.2012;0144.0000;2.1.6.3;Höhenmarke (der Straßenbauverwaltung);Text;für Vermessung
1.1.2012;3456.7001;;Holzmast (Elektrizitätsversorgung);Punkt;für Vermessung
1.1.2012;3456.7002;;Holzmast (Telekommunikation);Punkt;für Vermessung
16.1.2014;6130.0000;2.2.7.24;Hopfen;Flaeche;für Vermessung
1.1.2012;02310-3442;;Hopfen (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
16.1.2014;6130.0000;2.2.7.24;Hopfen (Nutzungsarten-Gruppensymbol);Punkt;für Vermessung
1.1.2012;R2310-3442;;Hopfen (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
1.1.2012;3489.7002;;Induktionsschleife;Punkt;für Vermessung
16.1.2014;0719.0007;;Information im Schneiderahmen;Text;für Vermessung
16.1.2014;0719.0004;;Innenrahmen;Linie;für Vermessung
1.1.2012;31001-3061;;Jugendfreizeitheim;Flaeche;aus ALKIS
1.1.2012;31001-3075;;Justizvollzugsanstalt;Flaeche;aus ALKIS
1.1.2012;3449.0000;2.5.8.6;Kabelformstein, -kanal;Punkt;für Vermessung
1.1.2012;3489.0000;2.5.6.1;Kabelkasten, Schaltkasten;Punkt;für Vermessung
16.1.2014;8221.0000;3.3.4;Kanal;Text;für Vermessung
16.1.2014;1143.0000;2.4.6.3;Kapelle;Text;für Vermessung
1.1.2012;31001-3043;;Kapelle;Flaeche;aus ALKIS
1.1.2012;02310-3318;;Kapelle (Nutzungssymbol);Punkt;aus ALKIS
1.1.2012;31001-3073;;Kaserne;Flaeche;aus ALKIS
1.1.2012;9204-7076;;Katasterbezeichnungen, -namen;Text;aus ALKIS
1.1.2012;3513.0000;2.7.4.3;Kehrichtgrube;Punkt;für Vermessung
1.1.2012;02320-2512;;Keller, Tiefgarage unter der Erdoberfläche;Linie;aus ALKIS
1.1.2012;1071.0000;2.4.2.3;Kennzeichnung der Dachformen;Text;für Vermessung
1.1.2012;3444.7001;;Kennzeichnung von Hochspannungsleitungen;Punkt;für Vermessung
16.1.2014;5285.0000;2.3.2.1;Kilometerstein, - tafel;Punkt;für Vermessung
16.1.2014;5413.0000;2.3.5.2;Kilometerstein, - tafel an Schienenbahn;Punkt;für Vermessung
16.1.2014;5636.0000;2.3.10.2;Kilometerstein, - tafel an Wasserstraße;Punkt;für Vermessung
16.1.2014;5636.0000;2.3.10.2;Kilometerstein, - tafel an Wasserstraße;Text;für Vermessung
1.1.2012;31001-3065;;Kinderkrippe, -garten, -tagesstätte;Flaeche;aus ALKIS
1.1.2012;02310-3323;;Kinderkrippe, -garten, -tagesstätte (Nutzungssymbol);Punkt;aus ALKIS
1.1.2012;1475.0000;2.5.9.9;Kiosk und WC (Nutzungssymbol);Punkt;für Vermessung
16.1.2014;1141.0000;2.4.6.1;Kirche;Text;für Vermessung
1.1.2012;31001-3041;;Kirche;Flaeche;aus ALKIS
1.1.2012;51002-1210;;Klärbecken;Flaeche;aus ALKIS
16.1.2014;4261.0000;2.2.7.40;Klein-, Schrebergarten, Laubenkolonie;Flaeche;für Vermessung
16.1.2014;4261.0000;2.2.7.40;Klein-, Schrebergarten, Laubenkolonie (Nutzungsartensymbol);Punkt;für Vermessung
1.1.2012;02310-3419;;Klein-, Schrebergarten, Laubenkolonie (Nutzungsartensymbol);Punkt;aus ALKIS
16.1.2014;0123.0000;2.1.4;Kleinpunkt (vermarkt), Punkt in Messungslinie;Punkt;für Vermessung
16.1.2014;0123.0000;2.1.4;Kleinpunkt (vermarkt), Punkt in Messungslinie;Text;für Vermessung
1.1.2012;8073.7001;;Kleintier-, Amphibien-, Wilddurchlass, -tunnel;Linie;für Vermessung
1.1.2012;31001-3033;;Konzertgebäude;Flaeche;aus ALKIS
16.1.2014;0719.0003;;Koordinatenrahmen;Linie;für Vermessung
1.1.2012;02310-3403;;Kraftwerk (Nutzungssymbol);Punkt;aus ALKIS
1.1.2012;31001-3051;;Krankenhaus, Heil-, Pflegeanstalt, Pflegestation;Flaeche;aus ALKIS
1.1.2012;02310-3321;;Krankenhaus, Heil-, Pflegeanstalt, Pflegestation (Nutzungssymbol);Punkt;aus ALKIS
16.1.2014;5124.0000;3.2.6;Kreisstraße;Text;für Vermessung
1.1.2012;31001-3017;;Kreisverwaltung;Flaeche;aus ALKIS
1.1.2012;9342.0000;2.7.2.4;Kreuz;Punkt;für Vermessung
1.1.2012;51001-1005;;Kühlturm;Flaeche;aus ALKIS
16.1.2014;5123.0000;3.2.4;Landesstraße;Text;für Vermessung
16.1.2014;0612.0000;3.1.2;Landgemeinde;Text;für Vermessung
16.1.2014;9241.0000;2.3.2.5;Lärmschutzwall;Linie;für Vermessung
16.1.2014;9241.0000;2.3.2.5;Lärmschutzwall;Text;für Vermessung
16.1.2014;9242.0000;2.3.2.6;Lärmschutzwand;Linie;für Vermessung
16.1.2014;9242.0000;2.3.2.6;Lärmschutzwand;Text;für Vermessung
1.1.2012;5742.0000;2.5.6.3;Laterne, elektrisch;Punkt;für Vermessung
1.1.2012;5741.0000;2.5.6.4;Laterne, Gas-;Punkt;für Vermessung
1.1.2012;8091.0000;2.1.7.1;Lattenpegel;Punkt;für Vermessung
16.1.2014;7300.0000;2.2.7.13;Laub- und Nadelholz, Mischwald;Flaeche;für Vermessung
1.1.2012;02310-3462;;Laub- und Nadelholz, Mischwald (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
16.1.2014;7300.0000;2.2.7.13;Laub- und Nadelholz, Mischwald (Nutzungsarten-Gruppensymbol);Punkt;für Vermessung
1.1.2012;R2310-3462;;Laub- und Nadelholz, Mischwald (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
1.1.2012;7503.0000;2.7.1.1;Laubbaum, hervorragender ~;Punkt;für Vermessung
1.1.2012;7506.0000;2.7.1.6;Laubbaumreihe;Punkt;für Vermessung
16.1.2014;5901.0000;2.2.7.35;Laubgehölz (in Verkehrsflächen);Punkt;für Vermessung
16.1.2014;5901.0000;2.2.7.35;Laubgehölz (in Verkehrsflächen);Flaeche;für Vermessung
16.1.2014;7100.0000;2.2.7.11;Laubwald (-gehölz, -busch);Flaeche;für Vermessung
16.1.2014;7402.0000;2.2.7.39;Laubwald (-gehölz, -busch);Punkt;für Vermessung
16.1.2014;7402.0000;2.2.7.39;Laubwald (-gehölz, -busch);Flaeche;für Vermessung
1.1.2012;02310-3458;;Laubwald (-gehölz, -busch) (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
16.1.2014;7100.0000;2.2.7.11;Laubwald (-gehölz, -busch) (Nutzungsarten-Gruppensymbol);Punkt;für Vermessung
1.1.2012;R2310-3458;;Laubwald (-gehölz, -busch) (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
1.1.2012;3923.0000;2.7.3.3;Laufkran;Punkt;für Vermessung
16.1.2014;5006.0000;;Leitpfosten;Punkt;für Vermessung
1.1.2012;51005-0000;;Leitung;Flaeche;aus ALKIS
1.1.2012;3441.0000;2.5.2.3;Leitung der Elektrizitätsversorgung, oberirdisch;Linie;für Vermessung
1.1.2012;3442.0000;2.5.1.3;Leitung der Elektrizitätsversorgung, unterirdisch;Linie;für Vermessung
1.1.2012;3471.0000;2.5.2.8;Leitung der Heizungsanlage, oberirdisch;Linie;für Vermessung
1.1.2012;3472.0000;2.5.1.8;Leitung der Heizungsanlage, unterirdisch;Linie;für Vermessung
1.1.2012;3403.0000;2.5.2;Leitung der sonst. Ver-/Entsorgung, oberirdisch;Linie;für Vermessung
1.1.2012;3403.0000;2.5.2;Leitung der sonst. Ver-/Entsorgung, oberirdisch;Text;für Vermessung
1.1.2012;3402.0000;2.5.1;Leitung der sonst. Ver-/Entsorgung, unterirdisch;Linie;für Vermessung
1.1.2012;3402.0000;2.5.1;Leitung der sonst. Ver-/Entsorgung, unterirdisch;Text;für Vermessung
1.1.2012;3481.0000;2.5.2.10;Leitung des Fernmeldewesens, oberirdisch;Linie;für Vermessung
1.1.2012;3482.0000;2.5.1.10;Leitung des Fernmeldewesens, unterirdisch;Linie;für Vermessung
1.1.2012;5646.0000;2.3.10.1;Leuchtfeuer;Punkt;für Vermessung
1.1.2012;5288.0000;2.3.3.8;Licht-, Richtzeichenbrücke;Punkt;für Vermessung
16.1.2014;4212.0000;2.2.7.22;Liegewiese;Punkt;für Vermessung
16.1.2014;4212.0000;2.2.7.22;Liegewiese;Flaeche;für Vermessung
16.1.2014;#999.7021;;Linienbegleitsymbol: geneigter Strich, 1,5/0,5 mm;Punkt;für Vermessung
16.1.2014;#999.7018;;Linienbegleitsymbol: geneigter Strich, 1/1 mm;Punkt;für Vermessung
16.1.2014;#999.7019;;Linienbegleitsymbol: geneigter Strich, 3/3 mm;Punkt;für Vermessung
16.1.2014;#999.7020;;Linienbegleitsymbol: geneigter Strich, 5/5 mm;Punkt;für Vermessung
16.1.2014;#999.7006;;Linienbegleitsymbol: Kreis, d=0,25 mm;Punkt;für Vermessung
16.1.2014;#999.7007;;Linienbegleitsymbol: Kreis, d=0,5 mm;Punkt;für Vermessung
16.1.2014;#999.7008;;Linienbegleitsymbol: Kreis, d=0,5 mm (gefüllt);Punkt;für Vermessung
16.1.2014;#999.7009;;Linienbegleitsymbol: Kreis, d=1 mm;Punkt;für Vermessung
16.1.2014;#999.7010;;Linienbegleitsymbol: Kreis, d=1 mm (gefüllt);Punkt;für Vermessung
16.1.2014;#999.7011;;Linienbegleitsymbol: Rechteck, 1x1 mm;Punkt;für Vermessung
16.1.2014;#999.7012;;Linienbegleitsymbol: Rechteck, 1x1 mm (gefüllt);Punkt;für Vermessung
16.1.2014;#999.7014;;Linienbegleitsymbol: senkrechter Strich_1, l= 1,5mm;Punkt;für Vermessung
16.1.2014;#999.7013;;Linienbegleitsymbol: senkrechter Strich_1, l= 1mm;Punkt;für Vermessung
16.1.2014;#999.7015;;Linienbegleitsymbol: senkrechter Strich_1, l= 2 mm;Punkt;für Vermessung
16.1.2014;#999.7016;;Linienbegleitsymbol: senkrechter Strich_1, l= 4 mm;Punkt;für Vermessung
16.1.2014;#999.7017;;Linienbegleitsymbol: senkrechter Strich_2, l= 1, a= 1mm;Punkt;für Vermessung
1.1.2012;51002-1250;;Mast;Flaeche;aus ALKIS
1.1.2012;5172.7001;;Mast, -fundament (Elektrizitätsversorgung);Punkt;für Vermessung
1.1.2012;02310-3504;;Mast, -fundament (Elektrizitätsversorgung);Punkt;aus ALKIS
1.1.2012;5172.7002;;Mast, -fundament (Telekommunikation);Punkt;für Vermessung
16.1.2014;L352.0000;2.2.9;Mauer, (in Aufnahmerichtung links);Linie;für Vermessung
1.1.2012;R352.0000;2.2.9;Mauer, (in Aufnahmerichtung rechts);Linie;für Vermessung
16.1.2014;Z352.0000;2.2.9;Mauer, beidseitig (mittig);Linie;für Vermessung
1.1.2012;02320-2510;;Mauer, historische, Stadt~, Ufer~, Kai~, Stütz~;Linie;aus ALKIS
1.1.2012;0142.0000;2.1.6.2;Mauerbolzen (der Straßenbauverwaltung);Punkt;für Vermessung
1.1.2012;0142.0000;2.1.6.2;Mauerbolzen (der Straßenbauverwaltung);Text;für Vermessung
1.1.2012;0266.0000;2.6.1.12;Meistereigrenze;Linie;für Vermessung
1.1.2012;3443.0000;2.5.3.4;Merkstein, -zeichen für Elektrizitätsversorgung;Punkt;für Vermessung
1.1.2012;3443.7002;;Merkstein, -zeichen für Energiekabelmuffe;Punkt;für Vermessung
1.1.2012;3477.0000;2.5.3.10;Merkstein, -zeichen für Fernheizleitung;Punkt;für Vermessung
1.1.2012;3483.7001;;Merkstein, -zeichen für Fernmeldekabelmuffe;Punkt;für Vermessung
1.1.2012;3483.0000;2.5.3.11;Merkstein, -zeichen für Fernmeldewesen;Punkt;für Vermessung
1.1.2012;3434.0000;2.5.3.6;Merkstein, -zeichen für Gasleitung;Punkt;für Vermessung
1.1.2012;3473.0000;2.5.3.9;Merkstein, -zeichen für Heizungsanlage;Punkt;für Vermessung
1.1.2012;3448.0000;2.5.3.5;Merkstein, -zeichen für Hochspannungsleitung;Punkt;für Vermessung
1.1.2012;3494.0000;2.5.3.8;Merkstein, -zeichen für Produktenfernleitung;Punkt;für Vermessung
1.1.2012;3466.0000;2.5.3.7;Merkstein, -zeichen für Rohölleitung;Punkt;für Vermessung
1.1.2012;3443.7001;;Merkstein, -zeichen für Telekommunikationskabel;Punkt;für Vermessung
1.1.2012;3426.0000;2.5.3.3;Merkstein, -zeichen für Wasserversorgung;Punkt;für Vermessung
1.1.2012;5295.0000;2.3.3.9;Mittelstreifenüberfahrt;Punkt;für Vermessung
16.1.2014;6500.0000;2.2.7.14;Moor;Flaeche;für Vermessung
1.1.2012;02310-3476;;Moor (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
16.1.2014;6500.0000;2.2.7.14;Moor (Nutzungsarten-Gruppensymbol);Punkt;für Vermessung
1.1.2012;R2310-3476;;Moor (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
1.1.2012;3489.7004;;Muffenschacht (AUSA-Kabel);Punkt;für Vermessung
1.1.2012;3512.0000;2.7.4.4;Müllboxenanlage;Punkt;für Vermessung
1.1.2012;31001-3034;;Museum;Flaeche;aus ALKIS
1.1.2012;7505.0000;2.7.1.2;Nadelbaum, hervorragender ~;Punkt;für Vermessung
1.1.2012;7507.0000;2.7.1.7;Nadelbaumreihe;Punkt;für Vermessung
16.1.2014;5903.0000;2.2.7.37;Nadelgehölz (in Verkehrsflächen);Punkt;für Vermessung
16.1.2014;5903.0000;2.2.7.37;Nadelgehölz (in Verkehrsflächen);Flaeche;für Vermessung
16.1.2014;7200.0000;2.2.7.12;Nadelwald (-gehölz);Flaeche;für Vermessung
1.1.2012;02310-3460;;Nadelwald (-gehölz) (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
16.1.2014;7200.0000;2.2.7.12;Nadelwald (-gehölz) (Nutzungsarten-Gruppensymbol);Punkt;für Vermessung
1.1.2012;R2310-3460;;Nadelwald (-gehölz) (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
1.1.2012;9333.0000;2.7.2.2;Naturdenkmal (Baum);Punkt;für Vermessung
16.1.2014;5002.7001;;Netzknotenbezeichnung;Text;für Vermessung
1.1.2012;5002.0000;2.3.2.7;Netzknotenpunkt (Rahmen);Punkt;für Vermessung
1.1.2012;3487.7002;;Niederschlagsfühler;Punkt;für Vermessung
1.1.2012;0039.0000;1.4.2;Nordpfeil;Punkt;für Vermessung
1.1.2012;9488.0000;2.5.8.5;Notrufsäule;Punkt;für Vermessung
1.1.2012;43001-1010;;Nutzungsart: Acker, Ackerland;Flaeche;aus ALKIS
1.1.2012;44001-8220;;Nutzungsart: Altarm;Flaeche;aus ALKIS
1.1.2012;44001-8210;;Nutzungsart: Altwasser;Flaeche;aus ALKIS
1.1.2012;42016-5630;;Nutzungsart: Anlegestelle;Flaeche;aus ALKIS
1.1.2012;41002-1450;;Nutzungsart: Ausstellung, Messe;Flaeche;aus ALKIS
1.1.2012;44001-8500;;Nutzungsart: Bach;Flaeche;aus ALKIS
1.1.2012;44006-8640;;Nutzungsart: Baggersee;Flaeche;aus ALKIS
1.1.2012;42010-0000;;Nutzungsart: Bahnverkehr;Flaeche;aus ALKIS
1.1.2012;41002-1420;;Nutzungsart: Bank, Kredit;Flaeche;aus ALKIS
1.1.2012;43001-1031;;Nutzungsart: Baumschule;Flaeche;aus ALKIS
1.1.2012;41002-1460;;Nutzungsart: Beherbergung;Flaeche;aus ALKIS
1.1.2012;41004-0000;;Nutzungsart: Bergbaubetrieb - allgemein;Flaeche;aus ALKIS
1.1.2012;41004-3000;;Nutzungsart: Bergbaubetrieb - Erze;Flaeche;aus ALKIS
1.1.2012;41004-5000;;Nutzungsart: Bergbaubetrieb - Industrieminerale, Salze;Flaeche;aus ALKIS
1.1.2012;41004-4020;;Nutzungsart: Bergbaubetrieb - Kohle;Flaeche;aus ALKIS
1.1.2012;41004-4000;;Nutzungsart: Bergbaubetrieb - Treib- und Brennstoffe;Flaeche;aus ALKIS
1.1.2012;41006-2720;;Nutzungsart: Betrieb;Flaeche;aus ALKIS
1.1.2012;41002-1780;;Nutzungsart: Betriebliche Sozialeinrichtung;Flaeche;aus ALKIS
1.1.2012;41002-2600;;Nutzungsart: Betriebsfläche Entsorgungsanlage;Flaeche;aus ALKIS
1.1.2012;41002-2550;;Nutzungsart: Betriebsfläche Versorganlage: Öl;Flaeche;aus ALKIS
1.1.2012;41002-2502;;Nutzungsart: Betriebsfläche Versorgungsanlage, allgemein;Flaeche;aus ALKIS
1.1.2012;41002-2530;;Nutzungsart: Betriebsfläche Versorgungsanlage: Elektrizität;Flaeche;aus ALKIS
1.1.2012;41002-2580;;Nutzungsart: Betriebsfläche Versorgungsanlage: Funk- und Fernmeldewesen;Flaeche;aus ALKIS
1.1.2012;41002-2560;;Nutzungsart: Betriebsfläche Versorgungsanlage: Gas;Flaeche;aus ALKIS
1.1.2012;41002-2570;;Nutzungsart: Betriebsfläche Versorgungsanlage: Wärme;Flaeche;aus ALKIS
1.1.2012;41002-2520;;Nutzungsart: Betriebsfläche Versorgungsanlage: Wasser;Flaeche;aus ALKIS
1.1.2012;41006-7600;;Nutzungsart: Betriebsfläche, forstwirtschaftliche;Flaeche;aus ALKIS
1.1.2012;41006-6800;;Nutzungsart: Betriebsfläche, landwirtschaftliche;Flaeche;aus ALKIS
1.1.2012;41007-1120;;Nutzungsart: Bildung und Forschung;Flaeche;aus ALKIS
1.1.2012;41008-4430;;Nutzungsart: Botanischer Garten;Flaeche;aus ALKIS
1.1.2012;43001-1200;;Nutzungsart: Brachland;Flaeche;aus ALKIS
1.1.2012;41008-4330;;Nutzungsart: Campingplatz;Flaeche;aus ALKIS
1.1.2012;41002-2630;;Nutzungsart: Deponie;Flaeche;aus ALKIS
1.1.2012;41008-4160;;Nutzungsart: Eis-, Rollschuhbahn;Flaeche;aus ALKIS
1.1.2012;42010-1100;;Nutzungsart: Eisenbahn;Flaeche;aus ALKIS
1.1.2012;41008-4300;;Nutzungsart: Erholungsfläche;Flaeche;aus ALKIS
1.1.2012;42016-5640;;Nutzungsart: Fähranlage;Flaeche;aus ALKIS
1.1.2012;42006-5210;;Nutzungsart: Fahrweg;Flaeche;aus ALKIS
1.1.2012;41007-0000;;Nutzungsart: Fläche besonderer funktionaler Prägung;Flaeche;aus ALKIS
1.1.2012;41006-0000;;Nutzungsart: Fläche gemischter Nutzung;Flaeche;aus ALKIS
1.1.2012;44001-0000;;Nutzungsart: Fließgewässer;Flaeche;aus ALKIS
1.1.2012;42015-5510;;Nutzungsart: Flughafen;Flaeche;aus ALKIS
1.1.2012;42015-0000;;Nutzungsart: Flugverkehr;Flaeche;aus ALKIS
1.1.2012;44001-8200;;Nutzungsart: Fluß;Flaeche;aus ALKIS
1.1.2012;41002-2510;;Nutzungsart: Förderanlage;Flaeche;aus ALKIS
1.1.2012;41002-1760;;Nutzungsart: Forschung;Flaeche;aus ALKIS
1.1.2012;41008-4200;;Nutzungsart: Freizeitanlage;Flaeche;aus ALKIS
1.1.2012;41008-4230;;Nutzungsart: Freizeitpark;Flaeche;aus ALKIS
1.1.2012;41009-0000;;Nutzungsart: Friedhof;Flaeche;aus ALKIS
1.1.2012;42001-5130;;Nutzungsart: Fußgängerzone;Flaeche;aus ALKIS
1.1.2012;42006-5220;;Nutzungsart: Fußweg;Flaeche;aus ALKIS
1.1.2012;42006-5230;;Nutzungsart: Gang;Flaeche;aus ALKIS
1.1.2012;43001-1030;;Nutzungsart: Garten, Gartenland;Flaeche;aus ALKIS
1.1.2012;41002-1490;;Nutzungsart: Gärtnerei;Flaeche;aus ALKIS
1.1.2012;42015-5501;;Nutzungsart: Gebäude- und Freifläche zu Verkehrsanlagen, Luftfahrt;Flaeche;aus ALKIS
1.1.2012;42010-2321;;Nutzungsart: Gebäude- und Freifläche zu Verkehrsanlagen, Schiene;Flaeche;aus ALKIS
1.1.2012;42016-2341;;Nutzungsart: Gebäude- und Freifläche zu Verkehrsanlagen, Schifffahrt;Flaeche;aus ALKIS
1.1.2012;42001-2311;;Nutzungsart: Gebäude- und Freifläche zu Verkehrsanlagen, Straße;Flaeche;aus ALKIS
1.1.2012;41006-2700;;Nutzungsart: Gebäude- und Freifläche: Land- und Forstwirtschaft;Flaeche;aus ALKIS
1.1.2012;41006-2100;;Nutzungsart: Gebäude- und Freifläche: Mischnutzung mit Wohnen;Flaeche;aus ALKIS
1.1.2012;43003-0000;;Nutzungsart: Gehölzfläche;Flaeche;aus ALKIS
1.1.2012;41007-1150;;Nutzungsart: Gesundheit, Kur;Flaeche;aus ALKIS
16.1.2014;43007-1110;;Nutzungsart: Gewaesserbegleitfläche, bebaut;Flaeche;aus ALKIS
16.1.2014;43007-1120;;Nutzungsart: Gewaesserbegleitfläche, unbebaut;Flaeche;aus ALKIS
1.1.2012;44006-0000;;Nutzungsart: Gewässer, stehend;Flaeche;aus ALKIS
