Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;;;;;;;;;;;;;;;;;;;
25.10.01;5413.0000;2.3.5.2;Kilometertafel, -stein;Punkt;;;;;;;;;;;;;;;;;;;;;
30.03.04;5413.F001;;KM-stein, Text;Text;;;;;;;;;;;;;;;;;;;;;
18.06.03;5432.0000;2.3.4.2;Straßenbahngleisachse;Linie;;;;;;;;;;;;;;;;;;;;;
18.06.03;5434.0000;2.3.3.5;Straßenbahnhaltestelle;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;5435.0000;;Straßenbahn Oberleitungsmast;Punkt;;;;;;;;;;;;;;;;;;;;;
18.06.03;5439.0000;2.3.3.6;Bushaltestelle;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;5444.0000;;Seil- und Schwebebahn Personenbeförderung;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;5445.0000;;Seil- und Schwebebahn Materialbeförderung;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;5446.0000;;Brandstraße;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;5447.0000;;Sessellift;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;5448.0000;;Skiaufzug;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;5449.0000;;Zahnradbahn (Bergbahn);Linie;;;;;;;;;;;;;;;;;;;;;
22.07.03;5472.0000;2.3.5.3;Signal, Eisenbahnsignal;Punkt;;;;;;;;;;;;;;;;;;;;;
22.07.03;5476.0000;2.3.5.4;Blinklicht;Punkt;;;;;;;;;;;;;;;;;;;;;
18.06.03;5477.0000;2.3.5.1;Bahnschranke;Punkt;;;;;;;;;;;;;;;;;;;;;
30.03.04;5477.F002;;Warnkreuz;Punkt;;;;;;;;;;;;;;;;;;;;;
18.06.03;5511.0000;;Flughafen;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;5511.0000;;Flughafen;Text;;;;;;;;;;;;;;;;;;;;;
10.06.09;5542.0000;;Anflugbefeuerung, doppelt;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;5543.0000;;Anflugbefeuerung, einfach;Punkt;;;;;;;;;;;;;;;;;;;;;
18.06.03;5622.0000;;Wagenfähre;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;5622.F001;;Wagenfähre;Text;;;;;;;;;;;;;;;;;;;;;
18.06.03;5623.0000;;Personenfähre;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;5623.F001;;Personenfähre;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;5636.0000;2.3.10.2;Kilometerstein an Wasserstraßen;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;5636.0000;2.3.10.2;Kilometerstein an Wasserstraßen;Text;;;;;;;;;;;;;;;;;;;;;
10.06.09;5646.0000;;Leuchtfeuer;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;5733.0000;;Fußgängersteg;Linie;;;;;;;;;;;;;;;;;;;;;
28.08.02;5733.F001;2.3.11.1;Fußgängersteg;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;5736.0000;2.3.11.4;Brückenpfeiler;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;5741.F001;;Gaslaterne;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;5742.F001;;Lampe ohne Zuordnung;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;5742.F002;;Lampe/ Energie;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;5745.F001;2.5.8.1;Briefkasten;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;5746.F001;2.7.4.2;Uhr;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;5747.F001;;Anschlagsäule;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;5751.F001;2.7.4.14;Fahne / Fahnenmast;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;5901.0000;2.2.7.35;Laubgehölz (in Verkehrsflächen);Flaeche;;;;;;;;;;;;;;;;;;;;;
25.10.01;5901.0000;2.2.7.35;Laubgehölz (in Verkehrsflächen);Punkt;;;;;;;;;;;;;;;;;;;;;
27.10.03;5902.0000;2.2.7.36;Grünland (in Verkehrsflächen);Flaeche;;;;;;;;;;;;;;;;;;;;;
27.10.03;5902.0000;2.2.7.36;Grünland (in Verkehrsflächen);Punkt;;;;;;;;;;;;;;;;;;;;;
27.10.03;5902.F001;;Grünland, Einzelsignatur;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;5903.0000;2.2.7.37;Nadelgehölz (in Verkehrsflächen);Flaeche;;;;;;;;;;;;;;;;;;;;;
25.10.01;5903.0000;2.2.7.37;Nadelgehölz (in Verkehrsflächen);Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6110.0000;2.2.7.1;Ackerland;Flaeche;;;;;;;;;;;;;;;;;;;;;
06.06.03;6110.0000;2.2.7.1;Ackerland;Punkt;;;;;;;;;;;;;;;;;;;;;
06.06.03;6120.0000;2.2.7.2;Streuobstacker;Flaeche;;;;;;;;;;;;;;;;;;;;;
06.06.03;6120.0000;2.2.7.2;Streuobstacker;Punkt;;;;;;;;;;;;;;;;;;;;;
29.01.04;6130.0000;2.2.7.24;Hopfen;Flaeche;;;;;;;;;;;;;;;;;;;;;
06.06.03;6130.0000;2.2.7.24;Hopfen;Punkt;;;;;;;;;;;;;;;;;;;;;
29.01.04;6140.0000;2.2.7.25;Spargel;Flaeche;;;;;;;;;;;;;;;;;;;;;
06.06.03;6140.0000;2.2.7.25;Spargel;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6206.0000;2.2.7.26;Schilf, Reith, Reet, Rohr;Flaeche;;;;;;;;;;;;;;;;;;;;;
18.07.03;6206.0000;2.2.7.26;Schilf, Reith, Reet, Rohr (Gruppensymbol);Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6210.0000;2.2.7.3;Grünland;Flaeche;;;;;;;;;;;;;;;;;;;;;
18.07.03;6210.0000;2.2.7.3;Grünland (Gruppensymbol);Punkt;;;;;;;;;;;;;;;;;;;;;
28.01.04;6210.F001;;Wiese, nass;Flaeche;;;;;;;;;;;;;;;;;;;;;
28.01.04;6210.F001;;Wiese, nass;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6220.0000;2.2.7.4;Streuobstwiese;Flaeche;;;;;;;;;;;;;;;;;;;;;
06.06.03;6220.0000;2.2.7.4;Streuobstwiese;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6310.0000;2.2.7.5;Gartenland;Flaeche;;;;;;;;;;;;;;;;;;;;;
29.10.03;6310.0000;2.2.7.5;Gartenland (Gruppensymbol);Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6320.0000;2.2.7.8;Baumschule;Flaeche;;;;;;;;;;;;;;;;;;;;;
06.06.03;6320.0000;2.2.7.8;Baumschule;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6400.0000;2.2.7.9;Weingarten;Flaeche;;;;;;;;;;;;;;;;;;;;;
18.07.03;6400.0000;2.2.7.9;Weingarten (Gruppensymbol);Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6500.0000;2.2.7.14;Moor;Flaeche;;;;;;;;;;;;;;;;;;;;;
18.07.03;6500.0000;2.2.7.14;Moor;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6600.0000;2.2.7.15;Heide;Flaeche;;;;;;;;;;;;;;;;;;;;;
06.06.03;6600.0000;2.2.7.15;Heide;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6710.0000;2.2.7.6;Obstbaumanlage;Flaeche;;;;;;;;;;;;;;;;;;;;;
18.07.03;6710.0000;2.2.7.6;Obstbaumanlage (Gruppensymbol);Punkt;;;;;;;;;;;;;;;;;;;;;
06.06.03;6720.0000;2.2.7.7;Obststrauchanlage;Flaeche;;;;;;;;;;;;;;;;;;;;;
06.06.03;6720.0000;2.2.7.7;Obststrauchanlage;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6800.0000;2.2.7.18;Landwirtschaftliche Betriebsflächen;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6800.0000;2.2.7.18;Landwirtschaftliche Betriebsflächen;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;6900.0000;2.2.7.19;Brachland, Unland;Flaeche;;;;;;;;;;;;;;;;;;;;;
18.07.03;6900.0000;2.2.7.19;Brachland, Unland (Symbol);Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;6900.0000;2.2.7.19;Brachland, Unland;Text;;;;;;;;;;;;;;;;;;;;;
06.06.03;7100.0000;2.2.7.11;Laubwald;Flaeche;;;;;;;;;;;;;;;;;;;;;
06.06.03;7100.0000;2.2.7.11;Laubwald (Symbol);Punkt;;;;;;;;;;;;;;;;;;;;;
16.07.02;7200.0000;2.2.7.12;Nadelwald;Flaeche;;;;;;;;;;;;;;;;;;;;;
18.07.03;7200.0000;2.2.7.12;Nadelwald (Symbol);Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;7300.0000;2.2.7.13;Mischwald;Flaeche;;;;;;;;;;;;;;;;;;;;;
18.07.03;7300.0000;2.2.7.13;Mischwald;Punkt;;;;;;;;;;;;;;;;
25.10.01;7400.0000;2.2.7.23;Gehölzfläche;Flaeche;;;;;;;;;;;;;;;;
18.07.03;7400.0000;2.2.7.23;Gehölzfläche (Symbol);Punkt;;;;;;;;;;;;;;;;
25.10.01;7401.0000;2.2.7.38;Nadelgehölz;Flaeche;;;;;;;;;;;;;;;;
06.06.03;7401.0000;2.2.7.38;Nadelgehölz;Punkt;;;;;;;;;;;;;;;;
25.10.01;7402.0000;2.2.7.39;Laubgehölz;Flaeche;;;;;;;;;;;;;;;;
06.06.03;7402.0000;2.2.7.39;Laubgehölz;Punkt;;;;;;;;;;;;;;;;
28.08.02;7501.F001;2.7.1.3;Laubbaum;Punkt;;;;;;;;;;;;;;;;
28.08.02;7502.F001;2.7.1.4;Nadelbaum;Punkt;;;;;;;;;;;;;;;;
28.08.02;7503.F001;2.7.1.1;Hervorragender Laubbaum;Punkt;;;;;;;;;;;;;;;;
28.08.02;7505.F001;2.7.1.2;Hervorragender Nadelbaum;Punkt;;;;;;;;;;;;;;;;
28.08.02;7506.F001;2.7.1.6;Laubbaumreihe;Punkt;;;;;;;;;;;;;;;;
28.08.02;7507.F001;2.7.1.7;Nadelbaumreihe;Punkt;;;;;;;;;;;;;;;;
10.06.09;7511.F001;;Obstbaum;Punkt;;;;;;;;;;;;;;;;
10.06.09;7512.F001;;Obstbaumreihe;Punkt;;;;;;;;;;;;;;;;
28.08.02;7515.F001;2.7.1.5;Baum, eingemessen;Punkt;;;;;;;;;;;;;;;;
28.08.02;7515.F001;2.7.1.5;Baum, eingemessen, Text, Stammdurchmesser, Krone;Text;;;;;;;;;;;;;;;;;;;;;
30.03.04;7855.F001;;Durchlaß/Hüllrohr, Verbindungslinie;Linie;;;;;;;;;;;;;;;;;;;;;
30.03.04;7855.F001;;Durchlaß/Hüllrohr;Punkt;;;;;;;;;;;;;;;;;;;;;
18.06.03;8011.0000;2.3.8.9;Quelle;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;8011.0000;2.3.8.9;Quelle;Text;;;;;;;;;;;;;;;;;;;;;
18.06.03;8023.0000;2.3.10.7;Höhe des Wasserspiegels;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;8023.0000;2.3.10.7;Höhe des Wasserspiegels, Text;Text;;;;;;;;;;;;;;;;;;;;;
18.06.03;8025.0000;2.3.8.3;Fließrichtungspfeil;Punkt;;;;;;;;;;;;;;;;;;;;;
18.06.03;8031.0000;2.3.9.1;Uferbefestigung (als senkrechte Mauer);Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;8033.0000;2.3.9.3;Buhne;Linie;;;;;;;;;;;;;;;;;;;;;
30.10.03;8036.0000;2.3.9.4;Pfahlwand, Holzbollwerk;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;8037.0000;2.3.8.1;Feste Uferlinie;Linie;;;;;;;;;;;;;;;;;;;;;
18.06.03;8038.0000;2.3.8.2;Veränderliche oder unbestimmbare Uferlinie;Linie;;;;;;;;;;;;;;;;;;;;;
18.06.03;8062.0000;2.3.10.5;Wehr;Linie;;;;;;;;;;;;;;;;;;;;;
18.06.03;8073.0000;2.3.12.1;Düker;Punkt;;;;;;;;;;;;;;;;;;;;;
24.10.03;8083.0000;2.3.10.6;Fischtreppe, Kaskade;Linie;;;;;;;;;;;;;;;;;;;;;
28.08.02;8084.F001;2.7.4.10;Eisbrecher;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;8091.0000;2.1.7.1;Lattenpegel;Punkt;;;;;;;;;;;;;;;;;;;;;
10.12.03;8091.F001;;Pegel allgemein;Punkt;;;;;;;;;;;;;;;;;;;;;
10.12.03;8091.F001;;Pegel allgemein;Text;;;;;;;;;;;;;;;;;;;;;
08.12.03;8092.0000;2.1.7.2;Schreibpegel;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;8093.0000;2.1.7.3;Hochwasserpegel;Punkt;;;;;;;;;;;;;;;;;;;;;
08.12.03;8094.0000;2.1.7.5;Grundwassermeßstelle;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;8095.0000;2.1.7.4;Eichpfahl;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;8096.F001;2.5.5.13;Grundwasserbeobachtungsrohr;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;8096.F001;2.5.5.13;Grundwasserbeobachtungsrohr;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8112.0000;3.3.1;Schiffbarer Fluß, Strom;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8113.0000;3.3.2;Nicht schiffbarer Fluß;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8114.0000;3.3.3;Kleiner Fluß;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8221.0000;3.3.4;Schiffbarer Kanal;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8222.0000;3.3.5;Nichtschiffbarer Kanal;Text;;;;;;;;;;;;;;;;;;;;;
30.03.04;8401.0000;2.3.8.7;Bach unter 1m;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;8401.0000;2.3.8.7;Bach unter 1m;Text;;;;;;;;;;;;;;;;;;;;;
30.03.03;8401.0001;2.3.8.6;Wasserlaufseite > 1 m;Linie;;;;;;;;;;;;;;;;;;;;;
29.03.04;8401.0001;3.3.6;Oberirdischer Bach;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8402.0000;3.3.7;Unterirdischer Bach;Text;;;;;;;;;;;;;;;;;;;;;
24.10.03;8501.0000;2.3.8.8;Nasser Graben unter 1m;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;8501.0000;2.3.8.8;Nasser Graben unter 1m;Text;;;;;;;;;;;;;;;;;;;;;
29.03.04;8501.0001;3.3.13;Oberirdischer nasser Graben;Text;;;;;;;;;;;;;;;;;;;;;
28.08.02;8501.F001;;Fließrichtungspfeil, groß;Punkt;;;;;;;;;;;;;;;;;;;;;
03.03.03;8502.0000;3.3.14;Unterirdischer nasser Graben;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8503.0000;3.3.15;Trockener Graben;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;8508.0000;2.3.1.17;Wegseitengraben, Rinne, Straßengraben, Grüppe;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;8508.0000;2.3.1.17;Wegseitengraben, Rinne, Straßengraben, Grüppe;Text;;;;;;;;;;;;;;;;;;;;;
03.02.04;8508.F001;;Fließrichtungspfeil, Straßengraben;Punkt;;;;;;;;;;;;;;;;;;;;;
10.06.09;8601.0000;;See, feste Uferlinie;Punkt;;;;;;;;;;;;;;;;;;;;;
03.03.03;8611.0000;3.3.8;Schiffbarer See;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8612.0000;3.3.9;Nicht schiffbarer See;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8621.0000;3.3.10;Stausee;Text;;;;;;;;;;;;;;;;;;;;;
10.06.09;8801.0000;;Teich, feste Uferlinie;Punkt;;;;;;;;;;;;;;;;;;;;;
03.03.03;8801.0000;3.3.11;Teich;Text;;;;;;;;;;;;;;;;;;;;;
03.03.03;8802.0000;3.3.12;Weiher;Text;;;;;;;;;;;;;;;;;;;;;
20.06.03;9010.0000;2.7.4.15;Bohrpunkt, Bohrung;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;9010.0000;2.7.4.15;Bohrpunkt, Bohrung, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;9010.F001;;Tiefenbohrpunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;9010.F001;;Tiefenbohrpunkt, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;9010.F002;;Schürfpunkt;Punkt;;;;;;;;;;;;;;;;;;;;;
07.04.09;9010.F002;;Schürfpunkt, Beschriftung;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;9242.0000;2.3.2.6;Lärmschutzwand;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;9242.0000;2.3.2.6;Lärmschutzwand, Tür;Punkt;;;;;;;;;;;;;;;;;;;;;
03.02.04;9242.0000;2.3.2.6;Lärmschutzwand;Text;;;;;;;;;;;;;;;;;;;;;
28.08.02;9242.F002;;Blendschutzeinrichtung;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;9291.0000;2.3.2.3;Abweisende Schutzeinrichtung (einseitig), rechts;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;9291.F001;;Pollerstein;Punkt;;;;;;;;;;;;;;;;;;;;;
03.02.04;9292.0000;2.3.2.4;Abweisende Schutzeinrichtung (zweiseitig) mittig;Linie;;;;;;;;;;;;;;;;;;;;;
03.02.04;9292.F001;;Leitplanke, Text;Text;;;;;;;;;;;;;;;;;;;;;
07.04.09;9293.F001;;Verkehrsspiegel;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;9332.F001;;Denkmal;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;9333.F001;;Naturdenkmal (Baum);Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;9333.F001;2.7.2.2;Naturdenkmal (Baum);Text;;;;;;;;;;;;;;;;;;;;;
10.06.09;9335.F001;;Höhle, Kellereingang im Berg;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;9341.F001;;Bildstock;Punkt;;;;;;;;;;;;;;;;;;;;;
28.08.02;9342.F001;;Kreuz;Punkt;;;;;;;;;;;;;;;;;;;;;
20.06.03;9395.0000;2.7.4.11;Historischer Grenzstein;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;9411.0000;2.2.7.20;Friedhof;Flaeche;;;;;;;;;;;;;;;;;;;;;
23.10.03;9411.0000;2.2.7.20;Friedhof (Symbol);Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;9430.0000;2.2.7.27;Historischer Friedhof;Flaeche;;;;;;;;;;;;;;;;;;;;;
25.10.01;9430.0000;2.2.7.27;Historischer Friedhof;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;9430.0000;2.2.7.27;Historischer Friedhof;Text;;;;;;;;;;;;;;;;;;;;;
20.06.03;9488.F001;2.5.8.5;Notrufsäule;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;9488.F001;2.5.8.5;Notrufsäule;Text;;;;;;;;;;;;;;;;;;;;;
20.06.03;9701.0000;2.7.4.12;Turm;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;9701.0000;2.7.4.12;Turm;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;9703.0000;2.7.4.13;Aussichtsturm;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;9703.0000;2.7.4.13;Aussichtsturm;Text;;;;;;;;;;;;;;;;;;;;;
25.10.01;99999.9999;;Sonstiges;Flaeche;;;;;;;;;;;;;;;;;;;;;
25.10.01;99999.9999;;Sonstiges;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;99999.9999;;Sonstiges;Punkt;;;;;;;;;;;;;;;;;;;;;
25.10.01;99999.9999;;Sonstiges;Text;;;;;;;;;;;;;;;;;;;;;
20.06.03;A311.0000;2.6.4.1;Grenzhecke gemeinschaftlich;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;A312.0000;2.6.4.2;Grenzzaun gemeinschaftlich;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;A315.0000;2.6.4.6;gemeinschaftlich;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;A316.0000;2.6.4.7;gemeinschaftlich;Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;L311.0000;2.6.4.1;Grenzhecke links (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;L313.0000;2.6.4.3;Grenzmauer links (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;L315.0000;2.6.4.6;links (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;L316.0000;2.6.4.7;links (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;L317.0000;2.6.4.8;Grenzrain links (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;L318.0000;2.6.4.9;Wasserführender Grenzgraben links (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;L319.0000;2.6.4.10;Trockener Grenzgraben links (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;L321.0000;2.6.4.4;links (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;L323.0000;2.6.4.5;links (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
20.06.03;R311.0000;2.6.4.1;Grenzhecke rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;R312.0000;2.6.4.2;Grenzzaun rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;R313.0000;2.6.4.3;Grenzmauer rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;R315.0000;2.6.4.6;rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;R316.0000;2.6.4.7;rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;R317.0000;2.6.4.8;Grenzrain rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;R318.0000;2.6.4.9;Wasserführender Grenzgraben rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;R319.0000;2.6.4.10;Trockener Grenzgraben rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
25.10.01;R321.0000;2.6.4.4;rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
27.10.03;R323.0000;2.6.4.5;rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;;;;;;
03.02.04;R351.0000;2.2.11;Hecke,  topographisch bedeutend, rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;
06.06.03;R352.0000;2.2.9;Mauer,  topographisch bedeutend, rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;
03.02.04;R353.0000;2.2.8;Zaun,  topographisch bedeutend rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;
03.02.04;R473.0000;2.2.10;Futtermauer, Stützmauer rechts (in Aufnahmerichtung);Linie;;;;;;;;;;;;;;;;
17.02.03;RE85.0001;RE 85;Fahrbahn;Flaeche;;;;;;;;;;;;;;;;
17.02.03;RE85.0002;RE 85;Bankett;Flaeche;;;;;;;;;;;;;;;;
27.11.03;RE85.0003;RE 85;Dammböschung;Flaeche;;;;;;;;;;;;;;;;
27.11.03;RE85.0004;RE 85;Einschnittsböschung;Flaeche;;;;;;;;;;;;;;;;
17.02.03;RE85.0005;RE 85;Insel gepflastert;Flaeche;;;;;;;;;;;;;;;;
17.02.03;RE85.0006;RE 85;Stützwand, Widerlager;Flaeche;;;;;;;;;;;;;;;;
17.02.03;RE85.0007;RE 85;geplanter Gebäudeabbruch;Flaeche;;;;;;;;;;;;;;;;
17.02.03;RE85.0008;RE 85;Gewässer mit Fließrichtung;Flaeche;;;;;;;;;;;;;;;;
21.11.03;RE85.0009;RE 85;Gehweg;Flaeche;;;;;;;;;;;;;;;;
17.02.03;RE85.0010;RE 85;Zufahrt;Flaeche;;;;;;;;;;;;;;;;
21.11.03;RE85.0011;RE 85;Wirtschaftsweg;Flaeche;;;;;;;;;;;;;;;;
04.11.03;RE85.0012;RE 85;Grunderwerb - für den Straßenbau vorübergehend benötigte Fläche;Flaeche;;;;;;;;;;;;;;;;
04.11.03;RE85.0013;RE 85;Grunderwerb - dauernd zu beschränkende Fläche;Flaeche;;;;;;;;;;;;;;;;
04.11.03;RE85.0014;RE 85;Grunderwerb - Restfläche;Flaeche;;;;;;;;;;;;;;;;
21.11.03;RE85.0015;RE 85;Trennstreifen;Flaeche;;;;;;;;;;;;;;;;
17.02.03;RE85.0016;RE 85;Radweg;Flaeche;;;;;;;;;;;;;;;;
21.11.03;RE85.0017;RE 85;Geh-/Radweg;Flaeche;;;;;;;;;;;;;;;;
03.12.03;RE85.0019;RE 85;Aufschüttung;Flaeche;;;;;;;;;;;;;;;;
03.12.03;RE85.0020;RE 85;Abgrabung;Flaeche;;;;;;;;;;;;;;;;
21.11.03;RE85.0021;RE 85;Lärmschutzwall;Flaeche;;;;;;;;;;;;;;;;
17.02.03;RE85.0022;RE 85;Lärmschutzwand;Flaeche;;;;;;;;;;;;;;;;
17.02.03;RE85.0023;RE 85;Gewässer ohne Fließrichtung;Flaeche;;;;;;;;;;;;;;;;
04.11.03;RE85.0024;RE 85;Grunderwerb - für den Straßenbau zu erwerbende Fläche;Flaeche;;;;;;;;;;;;;;;;
21.11.03;RE85.0025;RE 85;Gebäude bereits abgebrochen;Flaeche;;;;;;;;;;;;;;;;
25.10.01;Z313.0000;2.6.4.3;Grenzmauer gemeinschaftlich (beidseitig);Linie;;;;;;;;;;;;;;;;
25.10.01;Z317.0000;2.6.4.8;Grenzrain gemeinschaftlich;Linie;;;;;;;;;;;;;;;;
26.08.02;Z318.F001;;Wasserführender Grenzgraben > 2 mm , gemeinsam;Linie;;;;;;;;;;;;;;;;
26.08.02;Z318.F002;;Wasserführender Grenzgraben < 2 mm , gemeinsam;Linie;;;;;;;;;;;;;;;;
27.10.03;Z319.0000;2.6.4.10;Trockener Grenzgraben gemeinschaftlich;Linie;;;;;;;;;;;;;;;;
25.10.01;Z321.0000;2.6.4.4;gemeinschaftlich;Linie;;;;;;;;;;;;;;;;
20.06.02;Z352.0000;2.2.9;Mauer,  topographisch bedeutend, beidseitig (mittig);Linie;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
