Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Ebene;Bemerkung
10.12.12;4211.0000;2.2.7.21;Parkanlage;Flaeche;0;1120;
10.12.12;4212.0000;2.2.7.22;Liegewiese;Punkt;B49;1120;
10.12.12;4212.0000;2.2.7.22;Liegewiese;Flaeche;0;1120;
10.12.12;4216.0000;2.5.5.2;Springbrunnen, Zierbrunnen;Punkt;F29;1110;
10.12.12;4242.0000;2.3.2.9;Wildschutzzaun;Punkt;D59;1110;
10.12.12;4261.0000;2.2.7.40;Klein-, Schrebergarten Laubenkolonie;Punkt;B42;1120;
10.12.12;4261.0000;2.2.7.40;Klein-, Schrebergarten Laubenkolonie;Flaeche;0;1120;
10.12.12;4281.0000;2.2.7.41;Garten;Punkt;B43;1120;
10.12.12;4281.0000;2.2.7.41;Garten;Flaeche;0;1120;
10.12.12;4301.0000;2.2.7.32;Campingplatz;Punkt;B23;1120;
10.12.12;4301.0000;2.2.7.32;Campingplatz;Flaeche;0;1120;
10.12.12;5002.0000;2.3.2.7;Netzknotenpunkt (Rahmen);Punkt;D36;1115;
10.12.12;5003.0000;2.3.2.8;Stationszeichen;Punkt;a22;1135;
10.12.12;5003.0000;3.2.11;Bauwerksbezeichnung;Text;1;1015;
10.12.12;5004.0000;2.3.1.16;Achslinie;Linie;74;1130;
10.12.12;5110.0000;3.2.1;Europastraße;Text;1;1015;
10.12.12;5111.0000;3.2.2;Bundes - Autobahn;Text;1;1015;
10.12.12;5113.0000;2.3.1.3;Randstreifen unter 0,50m breit;Linie;31;1130;
10.12.12;5114.0000;2.3.1.4;Randstreifen 0,50m und breiter;Linie;32;1130;
10.12.12;5115.0000;2.3.1.5;Randstreifen mit unterbrochener Markierung;Linie;33;1130;
10.12.12;5116.0000;2.3.1.6;Fahrbahnmarkierung;Linie;04;1130;
10.12.12;5121.0000;3.2.9;Straßennamen;Text;1;1015;
10.12.12;5122.0000;3.2.3;Bundesstraße;Text;1;1015;
10.12.12;5123.0000;3.2.4;Landesstraße;Text;1;1015;
10.12.12;5124.0000;3.2.6;Kreisstraße;Text;1;1015;
10.12.12;5125.0000;3.2.5;Staatsstraße;Text;1;1015;
10.12.12;5129.0000;3.2.7;Gemeindestraße;Text;1;1015;
10.12.12;5141.0000;2.3.1.22;Gehweg an Straßen;Linie;H29;1100;
10.12.12;5141.0000;2.3.1.22;Gehweg an Straßen;Text;1;1115;
10.12.12;5151.0000;2.3.1.23;Geh- / Radweg;Linie;H29;1100;
10.12.12;5151.0000;2.3.1.23;Geh- / Radweg;Text;1;1115;
10.12.12;5161.0000;2.3.1.24;Radweg an Straßen;Linie;H29;1100;
10.12.12;5161.0000;2.3.1.24;Radweg an Straßen;Text;1;1115;
10.12.12;5172.0000;2.5.4.9;Fundament, Gittermastfundament oben;Punkt;F27;1160;
10.12.12;5173.0000;2.3.1.18;Hochbord;Linie;64;1105;
10.12.12;5174.0000;2.3.1.19;Tiefbord (Randeinfassung);Linie;65;1105;
10.12.12;5174.5001;;Flachbord;Punkt;a34;1110;
10.12.12;5201.0000;3.2.8;Weg;Text;1;1015;
10.12.12;5211.0000;2.3.1.20;Unbefestigter Weg;Linie;66;1100;
10.12.12;5215.0000;2.3.1.21;Weg unter 1mm Kartenbreite;Linie;34;1100;
10.12.12;5227.0000;2.3.11.2;Furt;Punkt;D44;1110;
10.12.12;5227.0000;2.3.11.2;Furt;Linie;0;1110;
10.12.12;5271.0000;2.3.1.7;Richtungspfeil geradeaus;Punkt;a84;1130;
10.12.12;5272.0000;2.3.1.8;Richtungspfeil geradeaus und links ab;Punkt;a85;1130;
10.12.12;5273.0000;2.3.1.9;Richtungspfeil geradeaus und rechts ab;Punkt;a86;1130;
10.12.12;5274.0000;2.3.1.10;Richtungspfeil nach links;Punkt;a89;1130;
10.12.12;5275.0000;2.3.1.11;Richtungspfeil nach rechts;Punkt;a90;1130;
10.12.12;5276.0000;2.3.1.12;Richtungspfeil links ab;Punkt;a87;1130;
10.12.12;5277.0000;2.3.1.13;Richtungspfeil rechts ab;Punkt;a88;1130;
10.12.12;5278.0000;2.3.1.14;Richtungspfeil links und rechts ab;Punkt;a91;1130;
10.12.12;5279.0000;2.3.1.15;Vorankündigungspfeil;Punkt;H19;1130;
10.12.12;5281.0000;2.3.3.1;Freistehende Hinweistafel, -zeichen, Ortsschild;Punkt;a12;1145;
10.12.12;5281.5001;;Hinweisschild;Punkt;a14;1145;
10.12.12;5281.5002;;Schild (rechteckig/hoch);Punkt;a13;1145;
10.12.12;5281.5003;;Schild (rechteckig/quer);Punkt;a12;1145;
10.12.12;5282.0000;2.3.3.2;Wegweiser von besonderer Bedeutung;Punkt;D38;1145;
10.12.12;5282.5001;2.3.3.1;Vorwegweiser;Punkt;a12;1145;
10.12.12;5284.0000;2.3.3.4;Verkehrsampel, Lichtzeichenbrücke;Punkt;D08;1145;
10.12.12;5284.5001;;Ampel;Punkt;a16;1145;
10.12.12;5285.0000;2.3.2.1;Kilometerstein, Kilometertafel;Punkt;D01;1135;
10.12.12;5286.0000;2.3.3.3;Feststehendes Verkehrszeichen;Punkt;a08;1145;
10.12.12;5286.5001;;Vorschriftzeichen/Stoppschild;Punkt;a08;1145;
10.12.12;5286.5002;;Haltestelle;Punkt;a74;1110;
10.12.12;5286.5003;;Stoppschild;Punkt;a08;1145;
10.12.12;5286.5004;;Vorfahrtsschild;Punkt;a09;1145;
10.12.12;5286.5005;;Vorfahrt achten;Punkt;a10;1145;
10.12.12;5286.5006;;Gefahrzeichen;Punkt;a11;1145;
10.12.12;5287.0000;2.3.3.7;Verkehrszeichenbrücke;Punkt;D10;1145;
10.12.12;5288.0000;2.3.3.8;Lichtzeichenbrücke;Punkt;D11;1145;
10.12.12;5289.0000;2.3.2.2;Ortsdurchfahrtsstein;Punkt;a21;1135;
10.12.12;5289.0000;2.3.2.2;Ortsdurchfahrtsstein;Text;1;1135;
10.12.12;5292.0000;2.3.2.10;Tür (im Wildschutzzaun);Punkt;D35;1120;
10.12.12;5295.0000;2.3.3.9;Mittelstreifenüberfahrt;Punkt;D12;1145;
10.12.12;5296.0000;2.3.1.1;Straße, Weg - Begrenzung des befahrbaren Raumes;Linie;62;1100;
10.12.12;5297.0000;2.3.1.2;Straße, Weg - überdeckte Begrenzungslinie;Linie;63;1100;
10.12.12;5311.0000;2.4.6.9;Parkplatz in Städten und Gemeinden;Punkt;A12;1110;
10.12.12;5411.0000;2.3.4.1;Durchgehendes Gleis der Bahnen (Achse), sonstiges;Linie;H44;1110;
10.12.12;5413.0000;2.3.5.2;Kilometertafel, -stein;Punkt;a20;1145
10.12.12;5432.0000;2.3.4.2;Straßenbahngleisachse;Linie;41;1110
10.12.12;5434.0000;2.3.3.5;Straßenbahnhaltestelle;Punkt;a74;1145
10.12.12;5435.0000;2.5.4.8;Straßenbahn- und Obusmast, Fahrdraht;Punkt;F26;1160
10.12.12;5439.0000;2.3.3.6;Bushaltestelle;Punkt;a74;1145
10.12.12;5444.0000;2.3.6.1;Seil- und Schwebebahn Personenbeförderung;Linie;79;1110
10.12.12;5445.0000;2.3.6.2;Seil- und Schwebebahn Materialbeförderung;Linie;H47;1110
10.12.12;5446.0000;2.3.6.3;Bandstraße;Linie;H48;1110
10.12.12;5447.0000;2.3.6.4;Sessellift;Linie;H49;1110
10.12.12;5448.0000;2.3.6.5;Skiaufzug;Linie;H50;1110
10.12.12;5449.0000;2.3.6.6;Zahnradbahn (Bergbahn);Linie;H51;1110
10.12.12;5472.0000;2.3.5.3;Signal, Eisenbahnsignal;Punkt;a19;1145
10.12.12;5476.0000;2.3.5.4;Blinklicht;Punkt;a18;1145
10.12.12;5477.0000;2.3.5.1;Bahnschranke;Punkt;a73;1110
10.12.12;5477.5001;;Andreaskreuz mit Blinklicht;Punkt;a17;1145
10.12.12;5477.5002;;Schranke;Punkt;a73;1110
10.12.12;5477.5003;;Bake (Bahnübergang);Punkt;a13;1145
10.12.12;5511.0000;2.2.7.33;Flughafen;Punkt;B35;1120
10.12.12;5511.0000;2.2.7.33;Flughafen;Text;1;1115
10.12.12;5511.0000;2.2.7.33;Flughafen;Flaeche;0;1120
10.12.12;5542.0000;2.3.7.1;Anflugbefeuerung (doppelt);Punkt;D19;1110
10.12.12;5543.0000;2.3.7.2;Anflugbefeuerung (einfach);Punkt;D42;1110
10.12.12;5622.0000;2.3.10.3;Wagenfähre;Punkt;D24;1145
10.12.12;5622.0000;2.3.10.3;Wagenfähre;Text;1;1115
10.12.12;5623.0000;2.3.10.4;Personenfähre;Punkt;D25;1145
10.12.12;5623.0000;2.3.10.4;Personenfähre;Linie;0;1145
10.12.12;5623.0000;2.3.10.4;Personenfähre;Text;1;1115
10.12.12;5636.0000;2.3.10.2;Kilometerstein an Wasserstraßen;Punkt;D22;1110
10.12.12;5636.0000;2.3.10.2;Kilometerstein an Wasserstraßen;Text;1;1115
10.12.12;5646.0000;2.3.10.1;Leuchtfeuer;Punkt;D21;1110
10.12.12;5733.0000;2.3.11.1;Fußgängersteg;Linie;0;1110
10.12.12;5742.0000;2.5.6.3;elektrische Laterne;Punkt;F42;1135
10.12.12;5742.5001;;Lichtmast;Punkt;a25;1135
10.12.12;5745.0000;2.5.8.1;Briefkasten;Punkt;a64;1110
10.12.12;5746.0000;2.7.4.2;Uhr;Punkt;a75;1110
10.12.12;5747.0000;2.7.4.1;Anschlagsäule bzw. Werbefläche;Punkt;a65;1110
10.12.12;5751.0000;2.7.4.14;Fahnenmast;Punkt;a69;1110
10.12.12;5901.0000;2.2.7.35;Laubgehölz (in Verkehrsflächen);Punkt;B37;1120
10.12.12;5901.0000;2.2.7.35;Laubgehölz (in Verkehrsflächen);Flaeche;0;1120
10.12.12;5902.0000;2.2.7.36;Grünland (in Verkehrsflächen);Punkt;B38;1120
10.12.12;5902.0000;2.2.7.36;Grünland (in Verkehrsflächen);Flaeche;0;1120
10.12.12;5903.0000;2.2.7.37;Nadelgehölz (in Verkehrsflächen);Punkt;B39;1120
10.12.12;5903.0000;2.2.7.37;Nadelgehölz (in Verkehrsflächen);Flaeche;0;1120
10.12.12;6110.0000;2.2.7.1;Ackerland;Punkt;B24;1120
10.12.12;6110.0000;2.2.7.1;Ackerland;Flaeche;54;1120
10.12.12;6120.0000;2.2.7.2;Streuobstacker;Punkt;B25;1120
10.12.12;6120.0000;2.2.7.2;Streuobstacker;Flaeche;57;1120
10.12.12;6130.0000;2.2.7.24;Hopfen;Punkt;B33;1120
10.12.12;6130.0000;2.2.7.24;Hopfen;Flaeche;0;1120
10.12.12;6140.0000;2.2.7.25;Spargel;Punkt;B34;1120
10.12.12;6140.0000;2.2.7.25;Spargel;Flaeche;0;1120
10.12.12;6204.0000;2.2.7.10;Korbweiden;Punkt;B07;1120
10.12.12;6204.0000;2.2.7.10;Korbweiden;Flaeche;0;1120
10.12.12;6206.0000;2.2.7.26;Schilf, Reith, Reet, Rohr (Gruppensymbol);Punkt;B18;1120
10.12.12;6206.0000;2.2.7.26;Schilf, Reith, Reet, Rohr;Flaeche;0;1120
10.12.12;6210.0000;2.2.7.3;Grünland (Gruppensymbol);Punkt;B01;1120
10.12.12;6210.0000;2.2.7.3;Grünland;Flaeche;44;1120
10.12.12;6220.0000;2.2.7.4;Streuobstwiese;Punkt;B26;1120
10.12.12;6220.0000;2.2.7.4;Streuobstwiese;Flaeche;57;1120
10.12.12;6310.0000;2.2.7.5;Gartenland (Gruppensymbol);Punkt;B03;1120
10.12.12;6310.0000;2.2.7.5;Gartenland;Flaeche;42;1120
10.12.12;6320.0000;2.2.7.8;Baumschule;Punkt;B05;1120
10.12.12;6320.0000;2.2.7.8;Baumschule;Flaeche;0;1120
10.12.12;6400.0000;2.2.7.9;Weingarten (Gruppensymbol);Punkt;B06;1120
10.12.12;6400.0000;2.2.7.9;Weingarten;Flaeche;0;1120
10.12.12;6500.0000;2.2.7.14;Moor;Punkt;B11;1120
10.12.12;6500.0000;2.2.7.14;Moor;Flaeche;0;1120
10.12.12;6600.0000;2.2.7.15;Heide;Punkt;B12;1120
10.12.12;6600.0000;2.2.7.15;Heide;Flaeche;0;1120
10.12.12;6710.0000;2.2.7.6;Obstbaumanlage (Gruppensymbol);Punkt;B04;1120
10.12.12;6710.0000;2.2.7.6;Obstbaumanlage;Flaeche;71;1120
10.12.12;6720.0000;2.2.7.7;Obststrauchanlage;Punkt;B27;1120
10.12.12;6720.0000;2.2.7.7;Obststrauchanlage;Flaeche;55;1120
10.12.12;6800.0000;2.2.7.18;Landwirtschaftliche Betriebsflächen;Punkt;B30;1120
10.12.12;6800.0000;2.2.7.18;Landwirtschaftliche Betriebsflächen;Text;1;1115
10.12.12;6800.0000;2.2.7.18;Landwirtschaftliche Betriebsflächen;Flaeche;0;1120
10.12.12;6900.0000;2.2.7.19;Brachland, Unland (Symbol);Punkt;B31;1120
10.12.12;6900.0000;2.2.7.19;Brachland, Unland;Text;1;1115
10.12.12;6900.0000;2.2.7.19;Brachland, Unland;Flaeche;0;1120
10.12.12;7100.0000;2.2.7.11;Laubwald (Symbol);Punkt;B08;1120
10.12.12;7100.0000;2.2.7.11;Laubwald;Flaeche;0;1120
10.12.12;7200.0000;2.2.7.12;Nadelwald (Symbol);Punkt;B09;1120
10.12.12;7200.0000;2.2.7.12;Nadelwald;Flaeche;0;1120
10.12.12;7300.0000;2.2.7.13;Mischwald;Punkt;B10;1120
10.12.12;7300.0000;2.2.7.13;Mischwald;Flaeche;0;1120
10.12.12;7400.0000;2.2.7.23;Gehölzfläche (Symbol);Punkt;B16;1120
10.12.12;7400.0000;2.2.7.23;Gehölzfläche;Flaeche;0;1120
10.12.12;7401.0000;2.2.7.38;Nadelgehölz;Punkt;B40;1120
10.12.12;7401.0000;2.2.7.38;Nadelgehölz;Flaeche;0;1120
10.12.12;7402.0000;2.2.7.39;Laubgehölz;Punkt;B41;1120
10.12.12;7402.0000;2.2.7.39;Laubgehölz;Flaeche;0;1120
10.12.12;7501.0000;2.7.1.3;Einzelner Laubbaum;Punkt;a79;1150
10.12.12;7502.0000;2.7.1.4;Einzelner Nadelbaum;Punkt;a80;1150
10.12.12;7503.0000;2.7.1.1;Hervorragender Laubbaum;Punkt;a81;1150
10.12.12;7505.0000;2.7.1.2;Hervorragender Nadelbaum;Punkt;a82;1150
10.12.12;7506.0000;2.7.1.6;Baumreihe von Laubbäumen;Punkt;G06;1120
10.12.12;7507.0000;2.7.1.7;Baumreihe von Nadelbäumen;Punkt;G07;1120
10.12.12;7515.0000;2.7.1.5;Eingemessener Baum von besonderer planerischer Bedeutung;Punkt;a83;1150
10.12.12;7515.0000;2.7.1.5;Eingemessener Baum von besonderer planerischer Bedeutung;Text;1;1150
10.12.12;7855.0000;2.3.12.2;Rohrauslauf / Entwässerung;Punkt;D47;1165
10.12.12;7855.5001;;Kanaldeckel;Punkt;a46;1165
10.12.12;7855.5002;;Durchlaß (Ein- und Auslauf);Punkt;a62;1175
10.12.12;8011.0000;2.3.8.9;Quelle;Punkt;D20;1100
10.12.12;8011.0000;2.3.8.9;Quelle;Text;1;1115
10.12.12;8023.0000;2.3.10.7;Höhe des Wasserspiegels;Punkt;D26;1110
10.12.12;8023.0000;2.3.10.7;Höhe des Wasserspiegels, Text;Text;1;1115
10.12.12;8025.0000;2.3.8.3;Fließrichtungspfeil;Punkt;D31;1115
10.12.12;8031.0000;2.3.9.1;Uferbefestigung (als senkrechte Mauer);Linie;H54;1175
10.12.12;8033.0000;2.3.9.3;Buhne;Linie;H57;1175
10.12.12;8036.0000;2.3.9.4;Pfahlwand, Holzbollwerk;Punkt;D53;1175
10.12.12;8037.0000;2.3.8.1;Feste Uferlinie;Linie;H52;1110
10.12.12;8038.0000;2.3.8.2;Veränderliche oder unbestimmbare Uferlinie;Linie;30;1110
10.12.12;8062.0000;2.3.10.5;Wehr;Linie;0;1110
10.12.12;8073.0000;2.3.12.1;Düker;Linie;0;1165
10.12.12;8083.0000;2.3.10.6;Fischtreppe, Kaskade;Linie;0;1110
10.12.12;8084.0000;2.7.4.10;Eisbrecher;Punkt;G26;1110
10.12.12;8091.0000;2.1.7.1;Lattenpegel;Punkt;E30;1120
10.12.12;8091.0000;2.1.7.1;Lattenpegel;Text;1;1115
10.12.12;8092.0000;2.1.7.2;Schreibpegel;Punkt;E31;1120
10.12.12;8093.0000;2.1.7.3;Hochwasserpegel;Punkt;E32;1120
10.12.12;8093.0000;2.1.7.3;Hochwasserpegel;Text;1;1115
10.12.12;8094.0000;2.1.7.5;Grundwassermeßstelle;Punkt;E34;1120
10.12.12;8095.0000;2.1.7.4;Eichpfahl;Punkt;E33;1120
10.12.12;8095.0000;2.1.7.4;Eichpfahl;Text;1;1115
10.12.12;8096.0000;2.5.5.13;Grundwasserbeobachtungsrohr;Punkt;F39;1110
10.12.12;8112.0000;3.3.1;Schiffbarer Fluß, Strom;Text;1;1015
10.12.12;8113.0000;3.3.2;Nicht schiffbarer Fluß;Text;1;1015
10.12.12;8114.0000;3.3.3;Kleiner Fluß;Text;1;1015
10.12.12;8221.0000;3.3.4;Schiffbarer Kanal;Text;1;1015
10.12.12;8222.0000;3.3.5;Nichtschiffbarer Kanal;Text;1;1015
10.12.12;8401.0000;2.3.8.7;Bach unter 1mm Kartenbreite;Flaeche;50;1100
10.12.12;8401.0000;2.3.8.7;Bach unter 1mm Kartenbreite;Text;1;1115
10.12.12;8401.0001;3.3.6;Oberirdischer Bach;Text;1;1015
10.12.12;8402.0000;3.3.7;Unterirdischer Bach;Text;1;1015
10.12.12;8501.0000;2.3.8.8;Nasser Graben unter 1mm Kartenbreite;Linie;0;1100
10.12.12;8501.0000;2.3.8.8;Nasser Graben unter 1mm Kartenbreite;Text;1;1115
10.12.12;8501.0001;3.3.13;Oberirdischer nasser Graben;Text;1;1015
10.12.12;8502.0000;3.3.14;Unterirdischer nasser Graben;Text;1;1015
10.12.12;8503.0000;3.3.15;Trockener Graben;Text;1;1015
10.12.12;8508.0000;2.3.1.17;Wegseitengraben, Rinne, Straßengraben (bis 1mm Kartenbreite) Grüppe;Linie;05;1100
10.12.12;8508.0000;2.3.1.17;Wegseitengraben, Rinne, Straßengraben (bis 1mm Kartenbreite) Grüppe;Text;1;1115
10.12.12;8601.0000;2.3.8.5;See, feste Uferlinie;Punkt;D43;1100
10.12.12;8601.0000;2.3.8.5;See, feste Uferlinie;Text;1;1115
10.12.12;8601.0000;2.3.8.5;See, feste Uferlinie;Flaeche;50;1100
10.12.12;8611.0000;3.3.8;Schiffbarer See;Text;1;1015
10.12.12;8612.0000;3.3.9;Nicht schiffbarer See;Text;1;1015
10.12.12;8621.0000;3.3.10;Stausee;Text;1;1015
10.12.12;8801.0000;2.3.8.4;Teich, feste Uferlinie;Punkt;D41;1100
10.12.12;8801.0000;2.3.8.4;Teich, feste Uferlinie;Flaeche;50;1100
10.12.12;8801.0000;3.3.11;Teich;Text;1;1015
10.12.12;8802.0000;3.3.12;Weiher;Text;1;1015
10.12.12;9010.0000;2.7.4.15;Bohrpunkt, Bohrung;Punkt;G40;1120
10.12.12;9241.0000;2.3.2.5;Lärmschutzwall;Text;1;1115
15.02.13;9242.00LR;2.3.2.6;Lärmschutzwand links, rechts;Punkt;1;1115
15.02.13;9242.00LR;2.3.2.6;Lärmschutzwand links, rechts;Linie;H21;1140
15.02.13;9242.000Z;2.3.2.6;Lärmschutzwand mittig;Punkt;1;1115
15.02.13;9242.000Z;2.3.2.6;Lärmschutzwand mittig;Linie;H20;1140
10.12.12;9291.0000;2.3.2.3;Abweisende Schutzeinrichtung (einseitig), rechts;Punkt;1;1135
10.12.12;9291.0000;2.3.2.3;Abweisende Schutzeinrichtung (einseitig), rechts;Linie;H41;1135
10.12.12;9292.0000;2.3.2.4;Abweisende Schutzeinrichtung (zweiseitig) mittig;Linie;H42;1135
10.12.12;9332.0000;2.7.2.1;Denkmal, Denkstein, Standbild;Punkt;a66;1110
10.12.12;9333.0000;2.7.2.2;Naturdenkmal (Baum);Punkt;G31;1150
10.12.12;9333.0000;2.7.2.2;Naturdenkmal (Baum);Text;1;1150
10.12.12;9335.0000;2.7.4.7;Höhle, Kellereingang im Berg od. Fels;Punkt;G23;1120
10.12.12;9341.0000;2.7.2.3;Bildstock;Punkt;a67;1110
10.12.12;9342.0000;2.7.2.4;Kreuz;Punkt;a68;1110
10.12.12;9395.0000;2.7.4.11;Historischer Grenzstein;Punkt;G27;1110
10.12.12;9411.0000;2.2.7.20;Friedhof (Symbol);Punkt;B32;1120
10.12.12;9411.0000;2.2.7.20;Friedhof;Flaeche;0;1120
10.12.12;9430.0000;2.2.7.27;Historischer Friedhof;Punkt;B28;1120
10.12.12;9430.0000;2.2.7.27;Historischer Friedhof;Text;1;1115
10.12.12;9430.0000;2.2.7.27;Historischer Friedhof;Flaeche;0;1120
10.12.12;9488.0000;2.5.8.5;Notrufsäule;Punkt;a24;1135
10.12.12;9488.0000;2.5.8.5;Notrufsäule;Text;1;1135
10.12.12;9701.0000;2.7.4.12;Turm;Punkt;G28;1120
10.12.12;9701.0000;2.7.4.12;Turm;Text;1;1120
10.12.12;9703.0000;2.7.4.13;Aussichtsturm;Punkt;G38;1120;
10.12.12;9703.0000;2.7.4.13;Aussichtsturm;Text;1;1120;
10.12.12;99999.9999;;Sonstiges;Punkt;1;1099;
10.12.12;99999.9999;;Sonstiges;Linie;0;1199;
10.12.12;99999.9999;;Sonstiges;Text;1;1199;
10.12.12;99999.9999;;Sonstiges;Flaeche;0;1199;
10.12.12;A311.0000;2.6.4.1;Grenzhecke gemeinschaftlich;Linie;I40;1010;
10.12.12;A312.0000;2.6.4.2;Grenzzaun gemeinschaftlich;Linie;I43;1010;
10.12.12;A315.0000;2.6.4.6;Grenzwall ohne Bewachsung gemeinschaftlich;Linie;I52;1010;
10.12.12;A316.0000;2.6.4.7;Grenzwall mit Bewachsung gemeinschaftlich;Linie;I54;1010;
10.12.12;A353.0000;2.2.8;Zaun beidseitig;Linie;51;1100;
10.12.12;L311.0000;2.6.4.1;Grenzhecke links (in Aufnahmerichtung);Linie;I41;1010;
10.12.12;L312.0000;2.6.4.2;Grenzzaun links (in Aufnahmerichtung);Linie;I44;1010;
10.12.12;L313.0000;2.6.4.3;Grenzmauer links (in Aufnahmerichtung);Linie;I46;1010;
10.12.12;L315.0000;2.6.4.6;Grenzwall ohne  Bewachsung links (in Aufnahmerichtung);Linie;I53;1010;
10.12.12;L316.0000;2.6.4.7;Grenzwall mit Bewachsung links (in Aufnahmerichtung);Linie;I55;1010;
10.12.12;L317.0000;2.6.4.8;Grenzrain links (in Aufnahmerichtung);Linie;I57;1010;
10.12.12;L318.0000;2.6.4.9;Wasserführender Grenzgraben links (in Aufnahmerichtung);Linie;I58;1010;
10.12.12;L319.0000;2.6.4.10;Trockener Grenzgraben links (in Aufnahmerichtung);Linie;I59;1010;
10.12.12;L321.0000;2.6.4.4;Futtermauer, Stützmauer als Grenzmauer links (in Aufnahmerichtung);Linie;I48;1010;
10.12.12;L323.0000;2.6.4.5;Spundmauer als Grenzeinrichtung links (in Aufnahmerichtung);Linie;I50;1010;
10.12.12;L351.0000;2.2.11;Hecke, topographisch bedeutend links (in Aufnahmerichtung);Linie;46;1100;
10.12.12;L352.0000;2.2.9;Mauer, topographisch bedeutend links (in Aufnahmerichtung);Linie;H21;1100;
10.12.12;L353.0000;2.2.8;Zaun,  topographisch bedeutend links (in Aufnahmerichtung);Linie;49;1100;
10.12.12;L462.0000;2.2.5;Steilrand links (in Aufnahmerichtung);Linie;H14;1100;
10.12.12;L473.0000;2.2.10;Futtermauer, Stützmauer links (in Aufnahmerichtung);Linie;H21;1175;
10.12.12;L8036.0000;2.3.9.4;Pfahlwand, Holzbollwerk links (in Aufnahmerichtung);Linie;H58;1175;
10.12.12;R311.0000;2.6.4.1;Grenzhecke rechts (in Aufnahmerichtung);Linie;I42;1010;
10.12.12;R312.0000;2.6.4.2;Grenzzaun rechts (in Aufnahmerichtung);Linie;I44;1010;
10.12.12;R313.0000;2.6.4.3;Grenzmauer rechts (in Aufnahmerichtung);Linie;I46;1010;
10.12.12;R315.0000;2.6.4.6;Grenzwall ohne  Bewachsung rechts (in Aufnahmerichtung);Linie;I53;1010;
10.12.12;R316.0000;2.6.4.7;Grenzwall mit Bewachsung rechts (in Aufnahmerichtung);Linie;I55;1010;
10.12.12;R317.0000;2.6.4.8;Grenzrain rechts (in Aufnahmerichtung);Linie;I57;1010;
10.12.12;R318.0000;2.6.4.9;Wasserführender Grenzgraben rechts (in Aufnahmerichtung);Linie;I58;1010;
10.12.12;R319.0000;2.6.4.10;Trockener Grenzgraben rechts (in Aufnahmerichtung);Linie;I59;1010;
10.12.12;R321.0000;2.6.4.4;Futtermauer, Stützmauer als Grenzmauer rechts (in Aufnahmerichtung);Linie;I49;1010;
10.12.12;R323.0000;2.6.4.5;Spundmauer als Grenzeinrichtung rechts (in Aufnahmerichtung);Linie;I51;1010;
10.12.12;R351.0000;2.2.11;Hecke, topographisch bedeutend rechts (in Aufnahmerichtung);Linie;48;1100;
10.12.12;R352.0000;2.2.9;Mauer, topographisch bedeutend rechts (in Aufnahmerichtung);Linie;H22;1100;
10.12.12;R353.0000;2.2.8;Zaun, topographisch bedeutend rechts (in Aufnahmerichtung);Linie;47;1100;
10.12.12;R462.0000;2.2.5;Steilrand rechts (in Aufnahmerichtung);Linie;H14;1100;
10.12.12;R473.0000;2.2.10;Futtermauer, Stützmauer rechts (in Aufnahmerichtung);Linie;H22;1175;
10.12.12;R8036.0000;2.3.9.4;Pfahlwand, Holzbollwerk rechts (in Aufnahmerichtung);Linie;H59;1175;
10.12.12;Z313.0000;2.6.4.3;Grenzmauer gemeinschaftlich (beidseitig);Linie;I45;1010;
10.12.12;Z317.0000;2.6.4.8;Grenzrain gemeinschaftlich;Linie;I56;1010;
10.12.12;Z318.0000;2.6.4.9;Wasserführender Grenzgraben gemeinschaftlich;Linie;I58;1010;
10.12.12;Z319.0000;2.6.4.10;Trockener Grenzgraben gemeinschaftlich;Linie;I59;1010;
08.03.2013;Z321.0000;2.6.4.4;Futtermauer, Stützmauer als Grenzmauer gemeinschaftlich;Linie;I47;1010;
10.12.12;Z351.0000;2.2.11;Hecke, topographisch bedeutend beidseitig;Linie;50;1100;
10.12.12;Z352.0000;2.2.9;Mauer, topographisch bedeutend beidseitig (mittig);Linie;H20;1100;
10.12.12;Z473.0000;2.2.10;Futtermauer, Stützmauer beidseitig;Linie;H20;1175;
10.12.12;#27.0000;;Umring für DGM;Linie;98;1195;
10.12.12;#28.0000;;Inring für DGM;Linie;99;1195;
10.12.12;RE85.0001;;Fahrbahn;Flaeche;15;3400;
10.12.12;RE85.0001;;Fahrbahn;Linie;15;3400;
10.12.12;RE85.0002;;Bankett;Flaeche;88;3560;
10.12.12;RE85.0002;;Bankett;Linie;88;3560;
10.12.12;RE85.0003;;Dammböschung;Flaeche;119;3580;
10.12.12;RE85.0003;;Dammböschung;Linie;119;3580;
10.12.12;RE85.0004;;Einschnittsböschung;Flaeche;114;3600;
10.12.12;RE85.0004;;Einschnittsböschung;Linie;114;3600;
10.12.12;RE85.0005;;Insel gepflastert;Flaeche;17;3540;
10.12.12;RE85.0005;;Insel gepflastert;Linie;17;3540;
10.12.12;RE85.0006;;Stützwand, Widerlager;Flaeche;08;3740;
10.12.12;RE85.0006;;Stützwand, Widerlager;Linie;08;3740;
10.12.12;RE85.0007;;geplanter Gebäudeabbruch;Flaeche;10;3720;
10.12.12;RE85.0007;;geplanter Gebäudeabbruch;Linie;10;3720;
10.12.12;RE85.0008;;Gewässer mit Fließrichtung;Flaeche;95;4270;
10.12.12;RE85.0008;;Gewässer mit Fließrichtung;Linie;95;4270;
